,,,,0= No,,,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,User Input Field,,,,,Autopopulate,,,,,,,,,,,,Extraction Efficiency,,,,,,,Spent % (as is),,,Output % (anhydrous),,,,Decarb % (as is),,,Input % (anhydrous),,
UniqueID,Extraction Date (yyyy/mm/dd),Strain,CBD=1,Lot Number,Extraction Run,Time (mins),Col1/2,PSI,Temp (°C),Program Used 0/1,Mass CO2 Used (lbs),CO2 Used (kg),kg CO2/min,Marble Diffuser (1/0),Notes,massCO2/g THC,massCO2/g CBD,massCO2/g CBN,THC,CBD,CBN,Input Mass (g),Output Spent Mass (g),% Mass Extracted,Spent Moisture,THC,CBD,CBN,THC,CBD,CBN,Decarb Moisture,THC,CBD,CBN,THC,CBD,CBN
95,27/07/2018,MB,,776,3,120,1,5000,65,1,68,30.9,0.258,1,,1.1539592,0.544675921,25.78355464,96%,97%,96%,1618,1373,15.10%,,0.13,0.197,0.007,0.13,0.197,0.007,0.0804,3.642,7.716,0.163,3.960417573,8.390604611,0.177250979
96,07/08/2018,HB,,784,1,120,1,5000,65,1,72,32.7,0.273,,,0.274082674,116.3147607,40.60043533,87%,100%,85%,1673,1374,17.90%,,2.019,0,0.016,2.019,-,0.016,,15.702,0.037,0.106,15.702,0.037,0.106
97,07/08/2018,HB,,784,3,120,1,5000,65,1,72.5,33,0.275,,,0.25348593,107.5739478,37.54939688,97%,100%,100%,1821.5,1470.5,19.30%,,0.537,0,0,0.537,-,-,,15.702,0.037,0.106,15.702,0.037,0.106
99,08/08/2018,HB,,784,6,120,2,5000,65,1,63,28.6,0.239,,,0.25226204,107.0545553,37.36809951,91%,100%,100%,1590.5,1292,18.80%,,1.421,0,0,1.421,-,-,,15.702,0.037,0.106,15.702,0.037,0.106
101,10/08/2018,TI,1,804,1,130,1,5000,65,1,63.5,28.9,0.222,,,9.806843787,0.351002252,,96%,98%,#DIV/0!,1631,1335.5,18.10%,,0.014,0.236,0,0.014,0.236,-,,0.397,11.092,0,0.397,11.092,-
102,13/08/2018,TI,1,804,2,140,2,5000,65,1,81,36.8,0.263,,,12.06565504,0.431848634,,95%,98%,#DIV/0!,1691,1376.5,18.60%,,0.018,0.191,0,0.018,0.191,-,,0.397,11.092,0,0.397,11.092,-
103,13/08/2018,TI,1,804,3,140,1,5000,65,1,72.5,33,0.235,,,10.74549264,0.38459796,,95%,98%,#DIV/0!,1699.5,1376.5,19.00%,,0.018,0.235,0,0.018,0.235,-,,0.397,11.092,0,0.397,11.092,-
105,14/08/2018,TI,1,805,1,140,1,5000,65,1,68,30.9,0.221,1,,11.00715465,0.492369005,,89%,94%,#DIV/0!,1580,1323,16.30%,,0.043,0.53,0,0.043,0.53,-,,0.391,8.741,0,0.391,8.741,-
106,15/08/2018,TI,1,805,2,140,1,5000,65,1,51.5,23.4,0.167,1,,7.858803997,0.351537852,,95%,96%,#DIV/0!,1676,1370,18.30%,,0.021,0.325,0,0.021,0.325,-,,0.391,8.741,0,0.391,8.741,-
108,15/08/2018,TI,1,805,4,140,1,5000,65,1,66.5,30.2,0.216,1,,12.86997551,0.575696193,,95%,97%,#DIV/0!,1321.5,1036.5,21.60%,,0.02,0.3,0,0.02,0.3,-,,0.391,8.741,0,0.391,8.741,-
109,16/08/2018,TI,1,806,2,120,2,5000,65,1,59.5,27,0.225,1,,9.144813892,0.318491794,369.4504812,98%,98%,100%,1610.5,1337,17.00%,,0.01,0.227,0,0.01,0.227,-,,0.404,11.6,0.01,0.404,11.6,0.01
